登記編號,工廠名稱,工廠地址,縣市別代碼,地址_行政區域代碼,地址_村里,地址_街路門牌,符合之產業類別
11000001,領航開發股份有限公司,臺南市學甲區新達里大順路137號,67000,67000130,新達里,大順路137號,11紡織業
11000003,南友有限公司,臺南市永康區尚頂里中正二街107號,67000,67000310,尚頂里,中正二街107號,"12成衣及服飾品製造業,22塑膠製品製造業"
11000004,阿舍食品企業股份有限公司,臺南市永康區王行里環工路15號,67000,67000310,王行里,環工路15號,08食品製造業
11000007,宏泰工業股份有限公司,臺南市永康區三民里和平東路79號,67000,67000310,三民里,和平東路79號,"25金屬製品製造業,29機械設備製造業"
11000008,遊遍天下實業有限公司,臺南市佳里區海澄里萊芊寮1之81號,67000,67000120,海澄里,萊芊寮1之81號,12成衣及服飾品製造業
11000009,億達食品企業有限公司,臺南市永康區王行里環工路15之3號,67000,67000310,王行里,環工路15之3號,08食品製造業
11000010,齎興螺絲工業股份有限公司,臺南市佳里區六安里六安116之12號1樓,67000,67000120,六安里,六安116之12號1樓,25金屬製品製造業
11000011,長利實業社第ㄧ廠,臺南市永康區尚頂里中正二街188號,67000,67000310,尚頂里,中正二街188號,25金屬製品製造業
11000012,金美多實業有限公司安定廠,臺南市安定區中沙里沙崙55之2號,67000,67000210,中沙里,沙崙55之2號,25金屬製品製造業
11000015,統盈實業股份有限公司,臺南市麻豆區小埤里埤頭1之13號,67000,67000070,小埤里,埤頭1之13號,08食品製造業
11000016,立穩股份有限公司,臺南市永康區?行里正南五街210號,67000,67000310,?行里,正南五街210號,25金屬製品製造業
11000017,祿竹企業有限公司,臺南市新市區大社里大社997號,67000,67000200,大社里,大社997號,18化學材料及肥料製造業
11000020,永興醬油食品廠,臺南市後壁區嘉田里上茄苳104號之26,67000,67000050,嘉田里,上茄苳104號之26,08食品製造業
11000021,米里光電企業有限公司,臺南市仁德區保安里保安路1段87號,67000,67000270,保安里,保安路1段87號,28電力設備及配備製造業
11000022,興南鑄造廠股份有限公司山上三廠,臺南市山上區明和里北勢洲90之3號,67000,67000220,明和里,北勢洲90之3號,24基本金屬製造業
11000023,普笠國際股份有限公司,臺南市永康區王行里王行路68巷36號,67000,67000310,王行里,王行路68巷36號,29機械設備製造業
11000024,宏築興業有限公司,臺南市仁德區二行里二仁路1段355號,67000,67000270,二行里,二仁路1段355號,"32家具製造業,33其他製造業"
11000025,同宏實業社,臺南市仁德區一甲里忠義一街61號2樓,67000,67000270,一甲里,忠義一街61號2樓,"22塑膠製品製造業,25金屬製品製造業"
11000028,阿太食品行,臺南市下營區下營里中山路2段29巷1號1樓,67000,67000080,下營里,中山路2段29巷1號1樓,08食品製造業
11000029,嘉振企業有限公司ㄧ廠,臺南市佳里區忠仁里博愛街60號1樓,67000,67000120,忠仁里,博愛街60號1樓,08食品製造業
11000030,棋崇實業工廠有限公司,臺南市永康區尚頂里中正二街105巷5、7號,67000,67000310,尚頂里,中正二街105巷5、7號,25金屬製品製造業
11000031,中國化學製藥股份有限公司台南三廠,臺南市官田區二鎮里工業西路46號之8,67000,67000100,二鎮里,工業西路46號之8,20藥品及醫用化學製品製造業
11000034,力晶精密刀具有限公司,臺南市永康區?洲里國聖街167巷38號,67000,67000310,?洲里,國聖街167巷38號,25金屬製品製造業
11000035,兆邑實業有限公司,臺南市安定區安加里安定258之75號,67000,67000210,安加里,安定258之75號,24基本金屬製造業
11000036,安邦儀器有限公司,臺南市永康區東橋里中正路279巷2弄16號,67000,67000310,東橋里,中正路279巷2弄16號,27電腦、電子產品及光學製品製造業
11000037,南群耀企業有限公司永康廠,臺南市永康區甲頂里中正南路242巷4弄77號,67000,67000310,甲頂里,中正南路242巷4弄77號,29機械設備製造業
11000038,承育精密工業股份有限公司,臺南市歸仁區歸仁里中山路1段42號,67000,67000280,歸仁里,中山路1段42號,"30汽車及其零件製造業,31其他運輸工具及其零件製造業"
11000039,國正化工有限公司,臺南市後壁區烏樹里烏樹林127之11號,67000,67000050,烏樹里,烏樹林127之11號,19其他化學製品製造業
11000040,三佶有限公司西港廠,臺南市西港區西港里中山路469之4號A區,67000,67000140,西港里,中山路469之4號A區,25金屬製品製造業
11000041,允利榮資源有限公司,臺南市山上區明和里北勢洲30之10號,67000,67000220,明和里,北勢洲30之10號,23非金屬礦物製品製造業
11000043,親親烘焙屋,臺南市仁德區保安里保安路一段15號,67000,67000270,保安里,保安路一段15號,08食品製造業
21000003,全大晟機器工廠有限公司,臺南市安南區安順里安和路4段36巷198號,67000,67000350,安順里,安和路4段36巷198號,29機械設備製造業
21000004,永煜熱能企業有限公司,臺南市安南區布袋里工明路189號,67000,67000350,布袋里,工明路189號,29機械設備製造業
21000005,遠見綠能科技有限公司,臺南市安南區鹽田里工業七路1號,67000,67000350,鹽田里,工業七路1號,"22塑膠製品製造業,24基本金屬製造業"
