登記編號,工廠名稱,工廠地址,縣市別代碼,地址_行政區域代碼,地址_村里,地址_街路門牌,符合之產業類別
11000004,阿舍食品企業股份有限公司,臺南市永康區王行里環工路15號,67000,67000310,王行里,環工路15號,08食品製造業
11000009,億達食品企業有限公司,臺南市永康區王行里環工路15之3號,67000,67000310,王行里,環工路15之3號,08食品製造業
11000015,統盈實業股份有限公司,臺南市麻豆區小埤里埤頭1之13號,67000,67000070,小埤里,埤頭1之13號,08食品製造業
11000020,永興醬油食品廠,臺南市後壁區嘉田里上茄苳104號之26,67000,67000050,嘉田里,上茄苳104號之26,08食品製造業
11000028,阿太食品行,臺南市下營區下營里中山路2段29巷1號1樓,67000,67000080,下營里,中山路2段29巷1號1樓,08食品製造業
11000029,嘉振企業有限公司ㄧ廠,臺南市佳里區忠仁里博愛街60號1樓,67000,67000120,忠仁里,博愛街60號1樓,08食品製造業
11000043,親親烘焙屋,臺南市仁德區保安里保安路一段15號,67000,67000270,保安里,保安路一段15號,08食品製造業
67000008,甄洋生物科技有限公司,臺南市永康區東橋里中正路279巷21弄47號,67000,67000310,東橋里,中正路279巷21弄47號,08食品製造業
67000038,味元食品工廠有限公司,臺南市南區彰南里新孝路210號B棟2樓、3樓,67000,67000330,彰南里,新孝路210號B棟2樓、3樓,08食品製造業
67000064,順富飼料廠,臺南市學甲區秀昌里一秀154號之1,67000,67000130,秀昌里,一秀154號之1,08食品製造業
67000081,康鼎食品國際有限公司,臺南市南區彰南里新孝路183之1號,67000,67000330,彰南里,新孝路183之1號,08食品製造業
67000083,順多企業社,臺南市下營區茅港里茅港尾271號,67000,67000080,茅港里,茅港尾271號,08食品製造業
67000088,龍承麵店,臺南市東區崇學里崇德四街28號,67000,67000320,崇學里,崇德四街28號,08食品製造業
67000105,豐禾生技股份有限公司,臺南市學甲區中洲里中洲1之1號,67000,67000130,中洲里,中洲1之1號,08食品製造業
67000121,易展企業有限公司工廠,臺南市永康區南灣里大灣東路99號1樓,67000,67000310,南灣里,大灣東路99號1樓,08食品製造業
67000130,億聯油脂股份有限公司,臺南市仁德區保安里開發五路12號,67000,67000270,保安里,開發五路12號,08食品製造業
67000133,太潤生技股份有限公司,臺南市新化區護國里中山路101號,67000,67000180,護國里,中山路101號,08食品製造業
67000137,康可力食品有限公司,臺南市新化區護國里中山路100之4號(A棟),67000,67000180,護國里,中山路100之4號(A棟),08食品製造業
67000147,林家製麵廠,臺南市佳里區鎮山里鎮山街122巷11號1樓,67000,67000120,鎮山里,鎮山街122巷11號1樓,08食品製造業
67000181,巧弘偉企業股份有限公司,臺南市安南區安順里開安二街39號,67000,67000350,安順里,開安二街39號,08食品製造業
67000210,太子宮麵圈店,臺南市新營區太北里太子宮123之5號,67000,67000010,太北里,太子宮123之5號,08食品製造業
67000223,泓羿食品有限公司,臺南市永康區蔦松里正北三路109、111號,67000,67000310,蔦松里,正北三路109、111號,08食品製造業
67000225,裕大行,臺南市佳里區建南里仁愛路408號,67000,67000120,建南里,仁愛路408號,08食品製造業
67000229,集客開發食品有限公司,臺南市安南區新順里永安路89巷11號,67000,67000350,新順里,永安路89巷11號,08食品製造業
67000249,衡一生技有限公司,臺南市永康區東橋里中正路269巷38號,67000,67000310,東橋里,中正路269巷38號,08食品製造業
67000258,恒耀食品股份有限公司仁德廠,臺南市仁德區太子里大發路177巷25號,67000,67000270,太子里,大發路177巷25號,08食品製造業
67000275,楊媽媽?子工坊,臺南市後壁區後壁里後壁98之5、98之6號1樓,67000,67000050,後壁里,後壁98之5、98之6號1樓,08食品製造業
67000276,成功泓食品有限公司,臺南市新化區拔里牧場1號之25,67000,67000180,拔里,牧場1號之25,08食品製造業
67000280,頂旺團膳便當工廠,臺南市後壁區後壁里後壁42之25、42之26號B棟,67000,67000050,後壁里,後壁42之25、42之26號B棟,"08食品製造業,08食品製造業"
67000281,卡多利亞食品股份有限公司,臺南市後壁區後壁里後壁42之27、42之26號A棟,67000,67000050,後壁里,後壁42之27、42之26號A棟,08食品製造業
67000284,?鑽農坊,臺南市麻豆區井東里安業49之1號1樓,67000,67000070,井東里,安業49之1號1樓,08食品製造業
67000288,千香食品有限公司,臺南市仁德區太子里大發路177巷45號,67000,67000270,太子里,大發路177巷45號,08食品製造業
67000304,建旺製麵行,臺南市永康區勝利里勝利街197巷8弄27號,67000,67000310,勝利里,勝利街197巷8弄27號,08食品製造業
67000321,保康生醫股份有限公司永康廠,臺南市永康區尚頂里尚頂路20號,67000,67000310,尚頂里,尚頂路20號,08食品製造業
67000341,統荃生醫股份有限公司,臺南市永康區東橋里中正路279巷21弄25、27號,67000,67000310,東橋里,中正路279巷21弄25、27號,"08食品製造業,09飲料製造業"
67000348,冠南食品企業有限公司,臺南市新化區唪口里唪口93之1號,67000,67000180,唪口里,唪口93之1號,08食品製造業
67000349,和旌生物科技有限公司,臺南市西港區南海里南海埔128之5號,67000,67000140,南海里,南海埔128之5號,08食品製造業
67000366,豐合生物科技有限公司,臺南市永康區尚頂里尚頂路16號,67000,67000310,尚頂里,尚頂路16號,08食品製造業
67000371,儒慧實業有限公司,臺南市大內區石湖里石子瀨390號,67000,67000110,石湖里,石子瀨390號,08食品製造業
67000381,永一腸衣有限公司,臺南市永康區東橋里中正路279巷21弄7號,67000,67000310,東橋里,中正路279巷21弄7號,08食品製造業
67000383,卜健食品行,臺南市新營區民榮里新榮六街50號,67000,67000010,民榮里,新榮六街50號,08食品製造業
67000427,昇咨企業股份有限公司,臺南市永康區二王里中山南路316巷33號,67000,67000310,二王里,中山南路316巷33號,08食品製造業
67000443,佳湘西點,臺南市西港區慶安里中州26之12號1樓,67000,67000140,慶安里,中州26之12號1樓,08食品製造業
67000448,後壁冰糖醬鴨有限公司,臺南市後壁區後壁里後壁42之18號,67000,67000050,後壁里,後壁42之18號,08食品製造業
67000487,五花馬國際行銷股份有限公司新化廠,臺南市新化區全興里竹子腳200號A區,67000,67000180,全興里,竹子腳200號A區,08食品製造業
67000496,平閎食品行台南廠,臺南市南區彰南里新忠路1-1號,67000,67000330,彰南里,新忠路1-1號,08食品製造業
67000514,廷豐生物科技有限公司,臺南市官田區湖山里烏山頭29之6、29之7號,67000,67000100,湖山里,烏山頭29之6、29之7號,08食品製造業
67000525,味味軒企業有限公司,臺南市六甲區龍湖里和平街187號,67000,67000090,龍湖里,和平街187號,08食品製造業
67000527,樂鮮企業有限公司仁德廠,臺南市仁德區仁德里文華路三段428巷92號,67000,67000270,仁德里,文華路三段428巷92號,08食品製造業
67000528,文元生技有限公司,臺南市仁德區太子里太子四街25巷17號,67000,67000270,太子里,太子四街25巷17號,08食品製造業
67000533,味旺貿易有限公司仁德廠,臺南市仁德區仁德里文華路三段428巷72號,67000,67000270,仁德里,文華路三段428巷72號,08食品製造業
67000540,全興飼料股份有限公司學甲廠,臺南市學甲區光華里頭港子1之20號,67000,67000130,光華里,頭港子1之20號,08食品製造業
67000544,宗崴生物科技有限公司,臺南市麻豆區麻口里麻豆口32之17號,67000,67000070,麻口里,麻豆口32之17號,08食品製造業
67000573,津香茶業有限公司,臺南市安南區安順里開安四街1之1號1樓,67000,67000350,安順里,開安四街1之1號1樓,08食品製造業
67000578,統一企業股份有限公司柳營芻料生技廠,臺南市柳營區大農里工七路5號,67000,67000040,大農里,工七路5號,08食品製造業
67000603,飛龍原香糖,臺南市玉井區玉田里新興街29號1樓,67000,67000230,玉田里,新興街29號1樓,08食品製造業
67000611,信行學實業有限公司,臺南市新市區港墘里中山路6號,67000,67000200,港墘里,中山路6號,08食品製造業
67000615,晶鈺食品股份有限公司一廠,臺南市佳里區下營里頂?1之17號2樓前段,67000,67000120,下營里,頂?1之17號2樓前段,08食品製造業
67000623,新福餅舖食品工廠,臺南市善化區南關里三民路1之23號,67000,67000190,南關里,三民路1之23號,08食品製造業
67000635,宥良生物科技有限公司工廠,臺南市柳營區八翁里八老爺39之26號1樓,67000,67000040,八翁里,八老爺39之26號1樓,08食品製造業
67000639,有豐製糖有限公司,臺南市永康區尚頂里中正二街122號,67000,67000310,尚頂里,中正二街122號,08食品製造業
67000641,新橋食品有限公司永康廠,臺南市永康區尚頂里正南一街118巷9號,67000,67000310,尚頂里,正南一街118巷9號,08食品製造業
67000694,世鴻食品股份有限公司,臺南市永康區王行里永科環路105號,67000,67000310,王行里,永科環路105號,08食品製造業
67000712,馥汀股份有限公司,臺南市麻豆區麻口里麻豆口5之2號,67000,67000070,麻口里,麻豆口5之2號,08食品製造業
67000715,誠硯食品有限公司,臺南市仁德區仁德里文華路3段428巷142號,67000,67000270,仁德里,文華路3段428巷142號,08食品製造業
67000730,竇爸國際餐飲有限公司,臺南市永康區?行里中正路542巷4號,67000,67000310,?行里,中正路542巷4號,08食品製造業
67000733,財廣記食品企業有限公司,臺南市永康區?行里中正南路490巷68號,67000,67000310,?行里,中正南路490巷68號,08食品製造業
67000759,佑泰糧食加工廠,臺南市白河區秀祐里三民路668之3號,67000,67000030,秀祐里,三民路668之3號,08食品製造業
67000777,黑橋牌企業股份有限公司二廠,臺南市南區彰南里新忠路2號,67000,67000330,彰南里,新忠路2號,08食品製造業
67000779,拿典企業有限公司,臺南市南區彰南里新忠路27號,67000,67000330,彰南里,新忠路27號,08食品製造業
